"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"gene:SSLN_0000212801" 9.72450646299971 -3.2036268489272 0.652713875650762 -4.90816415651215 9.19328920552167e-07 3.95368714897902e-06
"gene:SSLN_0000213001" 48.9922431671025 -1.92181461057735 0.442400608960371 -4.34405959587977 1.39873542992304e-05 4.86263979100668e-05
"gene:SSLN_0000213101" 49.7008245691498 -2.25105988080833 0.372502812424415 -6.04306814801591 1.51210746388516e-09 9.70526553736968e-09
"gene:SSLN_0000213201" 13.8593808283409 8.40267574259077 2.45590390007973 3.42141878691507 0.000622953268681088 0.00159730123962526
"gene:SSLN_0000213301" 29.2694428748355 8.92074965192112 2.17742074175205 4.09693426762485 4.18657717952352e-05 0.000132802614805428
"gene:SSLN_0000213701" 191.690252549309 -0.890178783658533 0.309892861424543 -2.87253723614826 0.00407190089749743 0.00880661004072567
"gene:SSLN_0000213801" 70.8804231180701 6.01792259800962 0.863809694940385 6.96672268586304 3.24409232381632e-12 2.88004466432697e-11
"gene:SSLN_0000213901" 3.71635419482734 -2.81584897014348 0.752410556710922 -3.74243681860692 0.000182244362848852 0.000514916788605894
"gene:SSLN_0000214301" 291.679563859059 -0.96525666530905 0.196909204061848 -4.90203934299521 9.48468342722282e-07 4.07139473609487e-06
"gene:SSLN_0000214401" 7637.58871057036 -1.44513882374553 0.320757574916657 -4.5053926602389 6.62503217094743e-06 2.4408478548153e-05
"gene:SSLN_0000214801" 5.2011481466878 -7.09247907084501 0.830316188709717 -8.54190146751984 1.32030991091665e-17 2.18024860289526e-16
"gene:SSLN_0000214901" 210.554835599635 10.7049551869411 1.29050624749126 8.29515952189422 1.08439586598712e-16 1.59086981189716e-15
"gene:SSLN_0000215201" 350.38337936038 -0.866171302052425 0.222240701808725 -3.8974467548159 9.72121866659574e-05 0.000288295217384219
"gene:SSLN_0000215301" 1326.38656040122 -1.10646871735722 0.178949507462047 -6.18313362830515 6.28414752522944e-10 4.23183690662402e-09
"gene:SSLN_0000215501" 127.981662086161 -5.10592793805349 0.511212720339144 -9.98787341337313 1.7223708437712e-23 4.96395187855145e-22
